frame,time_s,found,method,score,sigma_mm,sticker_x_mm,sticker_y_mm,heading_deg,box1_x_mm,box1_y_mm,box2_x_mm,box2_y_mm,box3_x_mm,box3_y_mm,box4_x_mm,box4_y_mm,sticker_height_mm,pitch_deg,roll_deg,plane_fit,stick1_x_mm,stick1_y_mm,stick2_x_mm,stick2_y_mm,stick3_x_mm,stick3_y_mm,stick4_x_mm,stick4_y_mm,wheel_fl_x_mm,wheel_fl_y_mm,wheel_fr_x_mm,wheel_fr_y_mm,wheel_rl_x_mm,wheel_rl_y_mm,wheel_rr_x_mm,wheel_rr_y_mm,1_mm,1_hit,2_mm,2_hit,3_mm,3_hit,4_mm,4_hit
3054,152.7000,1,hybrid:ecc,0.8804,0.191,372.3,2586.4,-90.438,1170.6,93.2,-559.4,106.5,-524.0,4736.3,1206.0,4723.1,1450.0,,,planar,-28.1,2088.0,771.7,2087.3,772.7,3084.7,-27.2,3085.5,1177.5,993.2,-552.5,1006.5,1199.5,3873.1,-530.5,3886.4,972.4,0,-404.8,1,1035.6,0,838.4,0
3055,152.7500,1,hybrid:ecc,0.8805,0.191,372.3,2586.4,-90.446,1170.3,93.1,-559.7,106.6,-523.7,4736.5,1206.3,4723.0,1450.0,,,planar,-28.1,2088.0,771.7,2087.2,772.7,3084.7,-27.2,3085.5,1177.3,993.1,-552.7,1006.6,1199.7,3873.0,-530.3,3886.5,972.4,0,-404.8,1,1035.6,0,838.4,0
3056,152.8000,1,hybrid:ecc,0.8804,0.191,372.3,2586.4,-90.446,1170.3,93.1,-559.7,106.6,-523.7,4736.5,1206.3,4723.0,1450.0,,,planar,-28.1,2088.0,771.7,2087.2,772.7,3084.7,-27.2,3085.5,1177.3,993.1,-552.7,1006.6,1199.7,3873.0,-530.3,3886.5,972.4,0,-404.8,1,1035.6,0,838.4,0
3057,152.8500,1,hybrid:ecc,0.8810,0.192,372.3,2586.4,-90.438,1170.6,93.2,-559.4,106.5,-524.0,4736.3,1206.0,4723.1,1450.0,,,planar,-28.0,2088.0,771.8,2087.3,772.7,3084.8,-27.2,3085.5,1177.5,993.2,-552.5,1006.5,1199.5,3873.1,-530.5,3886.4,972.4,0,-404.8,1,1035.6,0,838.4,0
3058,152.9000,1,hybrid:ecc,0.8805,0.193,372.3,2586.4,-90.438,1170.6,93.2,-559.4,106.5,-524.0,4736.3,1206.0,4723.1,1450.0,,,planar,-28.0,2088.0,771.8,2087.3,772.7,3084.8,-27.2,3085.5,1177.5,993.2,-552.5,1006.5,1199.5,3873.1,-530.5,3886.4,972.4,0,-404.8,1,1035.6,0,838.4,0
3059,152.9500,1,hybrid:ecc,0.8805,0.192,372.3,2586.4,-90.438,1170.6,93.2,-559.4,106.5,-524.0,4736.3,1206.0,4723.1,1450.0,,,planar,-28.0,2088.0,771.8,2087.3,772.7,3084.8,-27.2,3085.5,1177.5,993.2,-552.5,1006.5,1199.5,3873.1,-530.5,3886.4,972.4,0,-404.8,1,1035.6,0,838.4,0
3060,153.0000,1,hybrid:ecc,0.8807,0.193,372.3,2586.4,-90.438,1170.6,93.2,-559.4,106.5,-524.0,4736.3,1206.0,4723.1,1450.0,,,planar,-28.0,2088.0,771.8,2087.3,772.7,3084.8,-27.2,3085.5,1177.5,993.2,-552.5,1006.5,1199.5,3873.1,-530.5,3886.4,972.4,0,-404.8,1,1035.6,0,838.4,0
3061,153.0500,1,hybrid:ecc,0.8806,0.193,372.3,2586.4,-90.438,1170.6,93.2,-559.4,106.5,-524.0,4736.3,1206.0,4723.1,1450.0,,,planar,-28.0,2088.0,771.8,2087.3,772.7,3084.8,-27.2,3085.5,1177.5,993.2,-552.5,1006.5,1199.5,3873.1,-530.5,3886.4,972.4,0,-404.8,1,1035.6,0,838.4,0
3062,153.1000,1,hybrid:ecc,0.8844,0.190,372.6,2586.3,-90.446,1170.6,93.0,-559.4,106.5,-523.4,4736.4,1206.6,4722.9,1450.0,,,planar,-27.8,2088.0,772.1,2087.2,773.0,3084.7,-26.9,3085.4,1177.6,993.0,-552.4,1006.5,1200.0,3872.9,-530.0,3886.4,972.3,0,-404.5,1,1035.7,0,838.1,0
3063,153.1500,1,hybrid:ecc,0.8844,0.190,372.6,2586.3,-90.446,1170.6,93.0,-559.4,106.5,-523.4,4736.4,1206.6,4722.9,1450.0,,,planar,-27.8,2088.0,772.0,2087.2,773.0,3084.7,-26.9,3085.4,1177.6,993.0,-552.4,1006.5,1200.0,3872.9,-530.0,3886.4,972.3,0,-404.5,1,1035.7,0,838.1,0
3064,153.2000,1,hybrid:ecc,0.8845,0.190,372.6,2586.3,-90.446,1170.6,93.0,-559.4,106.5,-523.4,4736.4,1206.6,4722.9,1450.0,,,planar,-27.8,2088.0,772.1,2087.2,773.0,3084.7,-26.9,3085.4,1177.6,993.0,-552.4,1006.5,1200.0,3872.9,-530.0,3886.4,972.3,0,-404.5,1,1035.7,0,838.1,0
3065,153.2500,1,hybrid:ecc,0.8845,0.190,372.6,2586.3,-90.446,1170.6,93.0,-559.4,106.5,-523.4,4736.4,1206.6,4722.9,1450.0,,,planar,-27.8,2088.0,772.1,2087.2,773.0,3084.7,-26.9,3085.4,1177.6,993.0,-552.4,1006.5,1200.0,3872.9,-530.0,3886.4,972.3,0,-404.5,1,1035.7,0,838.1,0
3066,153.3000,1,hybrid:ecc,0.8844,0.190,372.6,2586.3,-90.446,1170.6,93.0,-559.4,106.5,-523.4,4736.4,1206.6,4722.9,1450.0,,,planar,-27.8,2088.0,772.1,2087.2,773.0,3084.7,-26.9,3085.4,1177.6,993.0,-552.4,1006.5,1200.0,3872.9,-530.0,3886.4,972.3,0,-404.5,1,1035.7,0,838.1,0
3067,153.3500,1,hybrid:ecc,0.8844,0.190,372.6,2586.3,-90.446,1170.6,93.0,-559.4,106.5,-523.4,4736.4,1206.6,4722.9,1450.0,,,planar,-27.8,2088.0,772.1,2087.2,773.0,3084.7,-26.9,3085.4,1177.6,993.0,-552.4,1006.5,1200.0,3872.9,-530.0,3886.4,972.3,0,-404.5,1,1035.7,0,838.1,0
3068,153.4000,1,hybrid:ecc,0.8844,0.190,372.6,2586.3,-90.446,1170.6,93.0,-559.4,106.5,-523.4,4736.4,1206.6,4722.9,1450.0,,,planar,-27.8,2088.0,772.1,2087.2,773.0,3084.7,-26.9,3085.4,1177.6,993.0,-552.4,1006.5,1200.0,3872.9,-530.0,3886.4,972.3,0,-404.5,1,1035.7,0,838.1,0
