frame,time_s,found,method,score,sigma_mm,sticker_x_mm,sticker_y_mm,heading_deg,box1_x_mm,box1_y_mm,box2_x_mm,box2_y_mm,box3_x_mm,box3_y_mm,box4_x_mm,box4_y_mm,sticker_height_mm,pitch_deg,roll_deg,plane_fit,stick1_x_mm,stick1_y_mm,stick2_x_mm,stick2_y_mm,stick3_x_mm,stick3_y_mm,stick4_x_mm,stick4_y_mm,wheel_fl_x_mm,wheel_fl_y_mm,wheel_fr_x_mm,wheel_fr_y_mm,wheel_rl_x_mm,wheel_rl_y_mm,wheel_rr_x_mm,wheel_rr_y_mm,stop_line_mm,stop_line_hit
16,0.8000,1,hybrid:ecc,0.9094,0.171,1050.0,997.2,-177.166,-1516.4,-175.1,-1601.9,1552.8,3022.4,1781.7,3107.9,53.8,1450.0,,,planar,571.5,543.8,1529.1,544.3,1528.6,1450.6,571.0,1450.1,-617.5,-130.6,-703.0,1597.3,2259.0,11.8,2173.4,1739.6,524.8,0
17,0.8500,1,hybrid:ecc,0.9093,0.171,1050.0,997.2,-177.166,-1516.4,-175.1,-1601.9,1552.8,3022.4,1781.7,3107.9,53.8,1450.0,,,planar,571.5,543.8,1529.1,544.3,1528.6,1450.6,571.0,1450.1,-617.5,-130.6,-703.0,1597.3,2259.0,11.8,2173.4,1739.6,524.8,0
18,0.9000,1,hybrid:ecc,0.9091,0.171,1050.0,997.2,-177.166,-1516.4,-175.1,-1601.9,1552.8,3022.4,1781.7,3107.9,53.8,1450.0,,,planar,571.5,543.8,1529.1,544.3,1528.6,1450.6,571.0,1450.1,-617.5,-130.6,-703.0,1597.3,2259.0,11.8,2173.4,1739.6,524.8,0
19,0.9500,1,hybrid:ecc,0.9092,0.171,1050.0,997.2,-177.166,-1516.4,-175.1,-1601.9,1552.8,3022.4,1781.7,3107.9,53.8,1450.0,,,planar,571.5,543.8,1529.1,544.3,1528.6,1450.6,571.0,1450.1,-617.5,-130.6,-703.0,1597.3,2259.0,11.8,2173.4,1739.6,524.8,0
20,1.0000,1,hybrid:ecc,0.9091,0.171,1050.0,997.2,-177.166,-1516.4,-175.1,-1601.9,1552.8,3022.4,1781.7,3107.9,53.8,1450.0,,,planar,571.5,543.8,1529.1,544.3,1528.6,1450.6,571.0,1450.1,-617.5,-130.6,-703.0,1597.3,2259.0,11.8,2173.4,1739.6,524.8,0
21,1.0500,1,hybrid:ecc,0.9091,0.171,1050.0,997.2,-177.166,-1516.4,-175.1,-1601.9,1552.8,3022.4,1781.7,3107.9,53.8,1450.0,,,planar,571.5,543.8,1529.1,544.3,1528.6,1450.6,571.0,1450.1,-617.5,-130.6,-703.0,1597.3,2259.0,11.8,2173.4,1739.6,524.8,0
22,1.1000,1,hybrid:ecc,0.9091,0.171,1050.0,997.2,-177.166,-1516.4,-175.1,-1601.9,1552.8,3022.4,1781.7,3107.9,53.8,1450.0,,,planar,571.5,543.8,1529.1,544.3,1528.6,1450.6,571.0,1450.1,-617.5,-130.6,-703.0,1597.3,2259.0,11.8,2173.4,1739.6,524.8,0
23,1.1500,1,hybrid:ecc,0.9090,0.171,1050.0,997.2,-177.166,-1516.4,-175.1,-1601.9,1552.8,3022.4,1781.7,3107.9,53.8,1450.0,,,planar,571.5,543.8,1529.1,544.3,1528.6,1450.6,571.0,1450.1,-617.5,-130.6,-703.0,1597.3,2259.0,11.8,2173.4,1739.6,524.8,0
24,1.2000,1,hybrid:ecc,0.9080,0.171,1050.0,997.2,-177.166,-1516.4,-175.1,-1601.9,1552.8,3022.4,1781.7,3107.9,53.8,1450.0,,,planar,571.5,543.8,1529.1,544.3,1528.6,1450.6,571.0,1450.1,-617.5,-130.6,-703.0,1597.3,2259.0,11.8,2173.4,1739.6,524.8,0
25,1.2500,1,hybrid:ecc,0.9076,0.171,1050.0,997.2,-177.166,-1516.4,-175.1,-1601.9,1552.8,3022.4,1781.7,3107.9,53.8,1450.0,,,planar,571.5,543.8,1529.1,544.3,1528.6,1450.6,571.0,1450.1,-617.5,-130.6,-703.0,1597.3,2259.0,11.8,2173.4,1739.6,524.8,0
26,1.3000,1,hybrid:ecc,0.9078,0.171,1050.0,997.2,-177.166,-1516.4,-175.1,-1601.9,1552.8,3022.4,1781.7,3107.9,53.8,1450.0,,,planar,571.5,543.8,1529.1,544.3,1528.6,1450.6,571.0,1450.1,-617.5,-130.6,-703.0,1597.3,2259.0,11.8,2173.4,1739.6,524.8,0
27,1.3500,1,hybrid:ecc,0.9079,0.171,1050.0,997.2,-177.160,-1516.3,-175.4,-1602.0,1552.5,3022.3,1781.9,3108.0,54.0,1450.0,,,planar,571.5,543.8,1529.1,544.4,1528.6,1450.7,571.0,1450.1,-617.4,-130.8,-703.1,1597.1,2259.1,11.9,2173.4,1739.8,524.7,0
