frame,time_s,found,method,score,sigma_mm,sticker_x_mm,sticker_y_mm,heading_deg,box1_x_mm,box1_y_mm,box2_x_mm,box2_y_mm,box3_x_mm,box3_y_mm,box4_x_mm,box4_y_mm,sticker_height_mm,pitch_deg,roll_deg,plane_fit,stick1_x_mm,stick1_y_mm,stick2_x_mm,stick2_y_mm,stick3_x_mm,stick3_y_mm,stick4_x_mm,stick4_y_mm,wheel_fl_x_mm,wheel_fl_y_mm,wheel_fr_x_mm,wheel_fr_y_mm,wheel_rl_x_mm,wheel_rl_y_mm,wheel_rr_x_mm,wheel_rr_y_mm,1_mm,1_hit,2_mm,2_hit,3_mm,3_hit,4_mm,4_hit
3712,185.6000,1,hybrid:ecc,0.9459,0.072,1348.4,3109.5,-87.284,2375.0,452.9,427.2,360.5,104.9,7152.8,2052.7,7245.2,2580.0,,,planar,677.3,2758.4,2019.8,2758.9,2019.5,3460.6,677.0,3460.1,2320.0,1611.6,372.2,1519.2,2135.7,5497.2,187.9,5404.8,1299.1,0,435.6,0,2397.7,0,931.2,0
3713,185.6500,1,hybrid:ecc,0.9459,0.072,1348.4,3109.5,-87.284,2375.0,452.9,427.2,360.5,104.9,7152.8,2052.7,7245.2,2580.0,,,planar,677.3,2758.4,2019.8,2758.9,2019.5,3460.6,677.0,3460.1,2320.0,1611.6,372.2,1519.2,2135.7,5497.2,187.9,5404.8,1299.1,0,435.6,0,2397.7,0,931.2,0
3714,185.7000,1,hybrid:ecc,0.9457,0.072,1348.4,3109.5,-87.284,2375.0,452.9,427.2,360.5,104.9,7152.8,2052.7,7245.2,2580.0,,,planar,677.3,2758.4,2019.8,2758.9,2019.5,3460.6,677.0,3460.1,2320.0,1611.6,372.2,1519.2,2135.7,5497.2,187.9,5404.8,1299.1,0,435.6,0,2397.7,0,931.2,0
3715,185.7500,1,hybrid:ecc,0.9447,0.072,1348.5,3109.5,-87.284,2375.1,452.9,427.3,360.5,105.0,7152.8,2052.8,7245.2,2580.0,,,planar,677.3,2758.4,2019.8,2758.9,2019.6,3460.6,677.1,3460.1,2320.1,1611.6,372.3,1519.2,2135.8,5497.2,188.0,5404.8,1299.1,0,435.7,0,2397.7,0,931.1,0
3716,185.8000,1,hybrid:ecc,0.9447,0.072,1348.5,3109.5,-87.284,2375.1,452.9,427.3,360.5,105.0,7152.8,2052.8,7245.2,2580.0,,,planar,677.3,2758.4,2019.8,2758.9,2019.6,3460.6,677.1,3460.1,2320.1,1611.6,372.3,1519.2,2135.8,5497.2,188.0,5404.8,1299.1,0,435.7,0,2397.7,0,931.1,0
3717,185.8500,1,hybrid:ecc,0.9445,0.072,1348.5,3109.4,-87.288,2374.9,452.7,427.0,360.5,105.3,7152.8,2053.1,7245.1,2580.0,,,planar,677.3,2758.4,2019.8,2758.8,2019.6,3460.5,677.1,3460.1,2320.0,1611.4,372.2,1519.2,2135.9,5497.1,188.1,5404.8,1299.0,0,435.9,0,2397.8,0,931.0,0
3718,185.9000,1,hybrid:ecc,0.9426,0.072,1348.6,3109.1,-87.284,2375.2,452.5,427.4,360.1,105.1,7152.4,2052.9,7244.8,2580.0,,,planar,677.4,2758.0,2019.9,2758.5,2019.7,3460.2,677.2,3459.7,2320.2,1611.2,372.4,1518.8,2135.9,5496.8,188.1,5404.4,1298.7,0,435.8,0,2398.1,0,931.0,0
3719,185.9500,1,hybrid:ecc,0.9427,0.072,1348.6,3109.1,-87.284,2375.2,452.5,427.4,360.1,105.1,7152.4,2052.9,7244.8,2580.0,,,planar,677.4,2758.0,2019.9,2758.5,2019.7,3460.2,677.2,3459.7,2320.2,1611.2,372.4,1518.8,2135.9,5496.8,188.1,5404.4,1298.7,0,435.8,0,2398.1,0,931.0,0
3720,186.0000,1,hybrid:ecc,0.9416,0.072,1348.6,3109.1,-87.284,2375.2,452.5,427.4,360.1,105.1,7152.4,2052.9,7244.8,2580.0,,,planar,677.5,2758.0,2020.0,2758.5,2019.7,3460.2,677.2,3459.6,2320.2,1611.2,372.4,1518.8,2135.9,5496.8,188.1,5404.4,1298.7,0,435.8,0,2398.1,0,931.0,0
3721,186.0500,1,hybrid:ecc,0.9416,0.072,1348.6,3109.1,-87.284,2375.2,452.5,427.4,360.1,105.1,7152.4,2052.9,7244.8,2580.0,,,planar,677.5,2758.0,2020.0,2758.5,2019.7,3460.2,677.2,3459.6,2320.2,1611.2,372.4,1518.8,2135.9,5496.8,188.1,5404.4,1298.7,0,435.8,0,2398.1,0,931.0,0
3722,186.1000,1,hybrid:ecc,0.9416,0.072,1348.6,3109.1,-87.284,2375.2,452.5,427.4,360.1,105.1,7152.4,2052.9,7244.8,2580.0,,,planar,677.5,2758.0,2020.0,2758.5,2019.7,3460.2,677.2,3459.6,2320.2,1611.2,372.4,1518.8,2135.9,5496.8,188.1,5404.4,1298.7,0,435.8,0,2398.1,0,931.0,0
3723,186.1500,1,hybrid:ecc,0.9416,0.072,1348.6,3109.1,-87.284,2375.2,452.5,427.4,360.1,105.1,7152.4,2052.9,7244.8,2580.0,,,planar,677.5,2758.0,2020.0,2758.5,2019.7,3460.2,677.2,3459.6,2320.2,1611.2,372.4,1518.8,2135.9,5496.8,188.1,5404.4,1298.7,0,435.8,0,2398.1,0,931.0,0
3724,186.2000,1,hybrid:ecc,0.9416,0.072,1348.6,3109.1,-87.284,2375.2,452.5,427.4,360.1,105.1,7152.4,2052.9,7244.8,2580.0,,,planar,677.5,2758.0,2020.0,2758.5,2019.7,3460.2,677.2,3459.6,2320.2,1611.2,372.4,1518.8,2135.9,5496.8,188.1,5404.4,1298.7,0,435.8,0,2398.1,0,931.0,0
3725,186.2500,1,hybrid:ecc,0.9417,0.072,1348.6,3109.1,-87.284,2375.2,452.5,427.4,360.1,105.1,7152.4,2052.9,7244.8,2580.0,,,planar,677.5,2758.0,2020.0,2758.5,2019.7,3460.2,677.2,3459.6,2320.2,1611.2,372.4,1518.8,2135.9,5496.8,188.1,5404.4,1298.7,0,435.8,0,2398.1,0,931.0,0
3726,186.3000,1,hybrid:ecc,0.9417,0.072,1348.6,3109.1,-87.284,2375.2,452.5,427.4,360.1,105.1,7152.4,2052.9,7244.8,2580.0,,,planar,677.5,2758.0,2020.0,2758.5,2019.7,3460.2,677.2,3459.6,2320.2,1611.2,372.4,1518.8,2135.9,5496.8,188.1,5404.4,1298.7,0,435.8,0,2398.1,0,931.0,0
3727,186.3500,1,hybrid:ecc,0.9415,0.072,1348.6,3109.1,-87.284,2375.2,452.5,427.4,360.1,105.1,7152.4,2052.9,7244.8,2580.0,,,planar,677.5,2758.0,2020.0,2758.5,2019.7,3460.2,677.2,3459.7,2320.2,1611.2,372.4,1518.8,2135.9,5496.8,188.1,5404.4,1298.7,0,435.8,0,2398.1,0,931.0,0
3728,186.4000,1,hybrid:ecc,0.9416,0.072,1348.6,3109.1,-87.284,2375.2,452.5,427.4,360.1,105.1,7152.4,2052.9,7244.8,2580.0,,,planar,677.5,2758.0,2020.0,2758.5,2019.7,3460.2,677.2,3459.6,2320.2,1611.2,372.4,1518.8,2135.9,5496.8,188.1,5404.4,1298.7,0,435.8,0,2398.1,0,931.0,0
3729,186.4500,1,hybrid:ecc,0.9416,0.072,1348.6,3109.1,-87.284,2375.2,452.5,427.4,360.1,105.1,7152.4,2052.9,7244.8,2580.0,,,planar,677.5,2758.0,2020.0,2758.5,2019.7,3460.2,677.2,3459.7,2320.2,1611.2,372.4,1518.8,2135.9,5496.8,188.1,5404.4,1298.7,0,435.8,0,2398.1,0,931.0,0
3730,186.5000,1,hybrid:ecc,0.9416,0.072,1348.6,3109.1,-87.284,2375.2,452.5,427.4,360.1,105.1,7152.4,2052.9,7244.8,2580.0,,,planar,677.5,2758.0,2020.0,2758.5,2019.7,3460.2,677.2,3459.7,2320.2,1611.2,372.4,1518.8,2135.9,5496.8,188.1,5404.4,1298.7,0,435.8,0,2398.1,0,931.0,0
3731,186.5500,1,hybrid:ecc,0.9416,0.072,1348.6,3109.1,-87.284,2375.2,452.5,427.4,360.1,105.1,7152.4,2052.9,7244.8,2580.0,,,planar,677.5,2758.0,2020.0,2758.5,2019.7,3460.2,677.2,3459.7,2320.2,1611.2,372.4,1518.8,2135.9,5496.8,188.1,5404.4,1298.7,0,435.8,0,2398.1,0,931.0,0
3732,186.6000,1,hybrid:ecc,0.9422,0.072,1348.6,3109.1,-87.284,2375.2,452.5,427.4,360.1,105.1,7152.4,2052.9,7244.8,2580.0,,,planar,677.5,2758.0,2020.0,2758.5,2019.7,3460.2,677.2,3459.7,2320.2,1611.2,372.4,1518.8,2135.9,5496.8,188.1,5404.4,1298.7,0,435.8,0,2398.1,0,931.0,0
3733,186.6500,1,hybrid:ecc,0.9422,0.072,1348.6,3109.1,-87.284,2375.2,452.5,427.4,360.1,105.1,7152.4,2052.9,7244.8,2580.0,,,planar,677.5,2758.0,2020.0,2758.5,2019.7,3460.2,677.2,3459.7,2320.2,1611.2,372.4,1518.8,2135.9,5496.8,188.1,5404.4,1298.7,0,435.8,0,2398.1,0,931.0,0
3734,186.7000,1,hybrid:ecc,0.9422,0.072,1348.6,3109.1,-87.284,2375.2,452.5,427.4,360.1,105.1,7152.4,2052.9,7244.8,2580.0,,,planar,677.5,2758.0,2020.0,2758.5,2019.7,3460.2,677.2,3459.7,2320.2,1611.2,372.4,1518.8,2135.9,5496.8,188.1,5404.4,1298.7,0,435.8,0,2398.1,0,931.0,0
3735,186.7500,1,hybrid:ecc,0.9422,0.072,1348.5,3109.1,-87.284,2375.1,452.5,427.3,360.1,105.0,7152.4,2052.8,7244.8,2580.0,,,planar,677.4,2758.0,2019.9,2758.5,2019.7,3460.2,677.2,3459.7,2320.1,1611.2,372.3,1518.8,2135.8,5496.8,188.0,5404.4,1298.7,0,435.7,0,2398.1,0,931.1,0
